Survived,PassengerId,Pclass,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,person,Alone
0,1,3,22,1,0,A/5 21171,7.25,,S,male,With Family
1,2,1,38,1,0,PC 17599,71.2833,C85,C,female,With Family
1,3,3,26,0,0,STON/O2. 3101282,7.925,,S,female,Alone
1,4,1,35,1,0,113803,53.1,C123,S,female,With Family
0,5,3,35,0,0,373450,8.05,,S,male,Alone
0,6,3,,0,0,330877,8.4583,,Q,male,Alone
0,7,1,54,0,0,17463,51.8625,E46,S,male,Alone
0,8,3,2,3,1,349909,21.075,,S,child,With Family
1,9,3,27,0,2,347742,11.1333,,S,female,With Family
1,10,2,14,1,0,237736,30.0708,,C,child,With Family
1,11,3,4,1,1,PP 9549,16.7,G6,S,child,With Family
1,12,1,58,0,0,113783,26.55,C103,S,female,Alone
0,13,3,20,0,0,A/5. 2151,8.05,,S,male,Alone
0,14,3,39,1,5,347082,31.275,,S,male,With Family
0,15,3,14,0,0,350406,7.8542,,S,child,Alone
1,16,2,55,0,0,248706,16,,S,female,Alone
0,17,3,2,4,1,382652,29.125,,Q,child,With Family
1,18,2,,0,0,244373,13,,S,male,Alone
0,19,3,31,1,0,345763,18,,S,female,With Family
1,20,3,,0,0,2649,7.225,,C,female,Alone
0,21,2,35,0,0,239865,26,,S,male,Alone
1,22,2,34,0,0,248698,13,D56,S,male,Alone
1,23,3,15,0,0,330923,8.0292,,Q,child,Alone
1,24,1,28,0,0,113788,35.5,A6,S,male,Alone
0,25,3,8,3,1,349909,21.075,,S,child,With Family
1,26,3,38,1,5,347077,31.3875,,S,female,With Family
0,27,3,,0,0,2631,7.225,,C,male,Alone
0,28,1,19,3,2,19950,263,C23 C25 C27,S,male,With Family
1,29,3,,0,0,330959,7.8792,,Q,female,Alone
0,30,3,,0,0,349216,7.8958,,S,male,Alone
0,31,1,40,0,0,PC 17601,27.7208,,C,male,Alone
1,32,1,,1,0,PC 17569,146.5208,B78,C,female,With Family
1,33,3,,0,0,335677,7.75,,Q,female,Alone
0,34,2,66,0,0,C.A. 24579,10.5,,S,male,Alone
0,35,1,28,1,0,PC 17604,82.1708,,C,male,With Family
0,36,1,42,1,0,113789,52,,S,male,With Family
1,37,3,,0,0,2677,7.2292,,C,male,Alone
0,38,3,21,0,0,A./5. 2152,8.05,,S,male,Alone
0,39,3,18,2,0,345764,18,,S,female,With Family
1,40,3,14,1,0,2651,11.2417,,C,child,With Family
0,41,3,40,1,0,7546,9.475,,S,female,With Family
0,42,2,27,1,0,11668,21,,S,female,With Family
0,43,3,,0,0,349253,7.8958,,C,male,Alone
1,44,2,3,1,2,SC/Paris 2123,41.5792,,C,child,With Family
1,45,3,19,0,0,330958,7.8792,,Q,female,Alone
0,46,3,,0,0,S.C./A.4. 23567,8.05,,S,male,Alone
0,47,3,,1,0,370371,15.5,,Q,male,With Family
1,48,3,,0,0,14311,7.75,,Q,female,Alone
0,49,3,,2,0,2662,21.6792,,C,male,With Family
0,50,3,18,1,0,349237,17.8,,S,female,With Family
0,51,3,7,4,1,3101295,39.6875,,S,child,With Family
0,52,3,21,0,0,A/4. 39886,7.8,,S,male,Alone
1,53,1,49,1,0,PC 17572,76.7292,D33,C,female,With Family
1,54,2,29,1,0,2926,26,,S,female,With Family
0,55,1,65,0,1,113509,61.9792,B30,C,male,With Family
1,56,1,,0,0,19947,35.5,C52,S,male,Alone
1,57,2,21,0,0,C.A. 31026,10.5,,S,female,Alone
0,58,3,28.5,0,0,2697,7.2292,,C,male,Alone
1,59,2,5,1,2,C.A. 34651,27.75,,S,child,With Family
0,60,3,11,5,2,CA 2144,46.9,,S,child,With Family
0,61,3,22,0,0,2669,7.2292,,C,male,Alone
1,62,1,38,0,0,113572,80,B28,,female,Alone
0,63,1,45,1,0,36973,83.475,C83,S,male,With Family
0,64,3,4,3,2,347088,27.9,,S,child,With Family
0,65,1,,0,0,PC 17605,27.7208,,C,male,Alone
1,66,3,,1,1,2661,15.2458,,C,male,With Family
1,67,2,29,0,0,C.A. 29395,10.5,F33,S,female,Alone
0,68,3,19,0,0,S.P. 3464,8.1583,,S,male,Alone
1,69,3,17,4,2,3101281,7.925,,S,female,With Family
0,70,3,26,2,0,315151,8.6625,,S,male,With Family
0,71,2,32,0,0,C.A. 33111,10.5,,S,male,Alone
0,72,3,16,5,2,CA 2144,46.9,,S,female,With Family
0,73,2,21,0,0,S.O.C. 14879,73.5,,S,male,Alone
0,74,3,26,1,0,2680,14.4542,,C,male,With Family
1,75,3,32,0,0,1601,56.4958,,S,male,Alone
